Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
202,137,137,-630000000,0,0,0,0,104279438844000,104278808844000,0,0
203,127,127,-2247028875000,0,0,0,0,110996120319000,108749091444000,0,0
204,121,121,630000000,0,0,0,0,106389721935000,106390351935000,0,0
205,158,158,630000000,0,0,0,0,105691575339000,105692205339000,0,0
206,122,122,-230761797000,0,0,0,0,106390351935000,106159590138000,0,0
207,115,116,-630000000,0,0,0,0,107903745663000,107903115663000,0,0
208,99,99,-1050000000000,0,0,0,0,108837322503000,107787322503000,0,0
209,120,120,0,0,0,0,0,109752225408000,109752225408000,0,0
210,133,133,-3795363663000,0,0,0,0,109752225408000,105956861745000,0,0
211,141,141,-630000000,0,0,0,0,114869377077000,114868747077000,0,0
212,120,121,0,0,0,0,0,115654745850000,115654745850000,0,0
213,150,150,-630000000,0,0,0,0,119780548734000,119779918734000,0,0
214,154,154,-1993538526000,0,0,0,0,124089947436000,122096408910000,0,0
215,123,123,0,0,0,0,0,120138027597000,120138027597000,0,0
216,154,154,-2458163442000,0,0,0,0,109206381480000,106748218038000,0,0
217,106,106,-161070000000,0,0,0,0,116514580098000,116353510098000,0,0
218,158,158,-630000000,0,0,0,0,118033815144000,118033185144000,0,0
219,159,159,-630000000,0,0,0,0,111966179031000,111965549031000,0,0
220,164,164,-1822424394000,0,0,0,0,115981256139000,114158831745000,0,0
221,148,148,-630000000,0,0,0,0,113147885130000,113147255130000,0,0
222,139,139,-1673450247000,0,0,0,0,112583611077000,110910160830000,0,0
223,129,129,-630000000,0,0,0,0,110910790830000,110910160830000,0,0
224,160,160,-2099370000000,0,0,0,0,116094635559000,113995265559000,0,0
225,138,138,193200000000,0,0,0,0,113687633409000,113880833409000,0,0
226,157,158,-9684559605000,0,0,0,0,113047863831000,103363304226000,0,0
227,154,154,-630000000,0,0,0,0,103363934226000,103363304226000,0,0
228,151,151,-630000000,0,0,0,0,110743162761000,110742532761000,0,0
229,148,148,-3263064105000,0,0,0,0,110186478990000,106923414885000,0,0
230,162,163,630000000,0,0,0,0,105434493675000,105435123675000,0,0
231,160,160,-630000000,0,0,0,0,117278397327000,117277767327000,0,0
232,158,158,905860053000,0,0,0,0,118305652836000,119211512889000,0,0
233,158,158,-1260000000,0,0,0,0,117851676516000,117850416516000,0,0
234,158,158,630000000,0,0,0,0,129050304705000,129050934705000,0,0
235,160,161,-2574794208000,0,0,0,0,132152097357000,129577303149000,0,0
236,152,153,39900000000,0,0,0,0,118238292669000,118278192669000,0,0
237,155,155,-2860241790000,0,0,0,0,123376875888000,120516634098000,0,0
238,166,166,-630000000,0,0,0,0,120517264098000,120516634098000,0,0
239,167,167,-630000000,0,0,0,0,119237545581000,119236915581000,0,0
240,163,164,-147000000000,0,0,0,0,125803599306000,125656599306000,0,0
241,161,161,-4366930659000,0,0,0,0,131088672645000,126721741986000,0,0
242,155,155,-4674538995000,0,0,0,0,125447229306000,120772690311000,0,0
243,167,167,-566680842000,0,0,0,0,115626412545000,115059731703000,0,0
244,167,167,-219349158000,0,0,0,0,114795761703000,114576412545000,0,0
245,163,163,-723387084000,0,0,0,0,116310297789000,115586910705000,0,0
246,166,166,4722070794000,0,0,0,0,124131458997000,128853529791000,0,0
247,170,170,6281469096000,0,0,0,0,113369606511000,119651075607000,0,0
248,166,166,-694911210000,0,0,0,0,109058395320000,108363484110000,0,0
249,164,164,-231000000000,0,0,0,0,116191187490000,115960187490000,0,0
250,158,158,-734370000000,0,0,0,0,122721139800000,121986769800000,0,0
251,161,162,5493348000,0,0,0,0,114442402809000,114447896157000,0,0
252,159,159,-1533630000000,0,0,0,0,111668890242000,110135260242000,0,0
253,160,160,-4695686709000,0,0,0,0,108360850500000,103665163791000,0,0
254,159,159,-630000000,0,0,0,0,101327091873000,101326461873000,0,0
255,160,160,-209370000000,0,0,0,0,104210447082000,104001077082000,0,0
256,143,143,-5064630900000,0,0,0,0,101327091873000,96262460973000,0,0
257,158,158,-630000000,0,0,0,0,94336817484000,94336187484000,0,0
258,162,162,-872865294000,0,0,0,0,94319535030000,93446669736000,0,0
259,158,158,4419187416000,0,0,0,0,96326017452000,100745204868000,0,0
260,169,169,0,0,0,0,0,89930581146000,89930581146000,0,0
