Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
252,16850,1000,28358418942000,0,0,0,0,64408780380000,92767199322000,0,0
253,15875,1000,24401852223000,0,0,0,0,61893043506000,86294895729000,0,0
254,14900,1000,18921268401000,0,0,0,0,63250681137000,82171949538000,0,0
255,13924,1000,17869910730000,0,0,0,0,61744996971000,79614907701000,0,0
256,12947,1000,14980922355000,0,0,0,0,64017900786000,78998823141000,0,0
257,11985,1000,13015477125000,0,0,0,0,65204448771000,78219925896000,0,0
258,11011,1000,12230431605000,0,0,0,0,65202348792000,77432780397000,0,0
259,10011,1000,76613566071000,0,0,0,0,nil,76613566071000,0,0
260,13489,1000,64962084390000,0,0,0,0,64959876975000,129921961365000,0,0
261,12540,1000,43489452867000,0,0,0,0,56817360285000,100306813152000,0,0
262,11597,1000,13464474639000,0,0,0,0,63000000000000,76464474639000,0,0
263,10625,1000,14675680236000,0,0,0,0,60985602741000,75661282977000,0,0
264,23362,1000,105000000000000,0,0,0,0,105000000000000,210000000000000,0,0
265,22415,1000,80767575756000,0,0,0,0,79936891272000,160704467028000,0,0
266,21433,1000,65903248635000,0,0,0,0,64258770261000,130162018896000,0,0
267,20493,1000,60446285067000,0,0,0,0,60320143653000,120766428720000,0,0
268,19518,1000,49949937240000,0,0,0,0,54437105121000,104387042361000,0,0
269,18538,1000,31853792922000,0,0,0,0,68038310592000,99892103514000,0,0
270,17558,1000,22869102312000,0,0,0,0,58771130880000,81640233192000,0,0
271,16604,1000,17226341160000,0,0,0,0,58183105701000,75409446861000,0,0
272,15613,1000,-21638488494000,0,0,0,0,96221652492000,74583163998000,0,0
273,14677,1000,18399274320000,0,0,0,0,55440000000000,73839274320000,0,0
274,13702,1000,-12180006321000,0,0,0,0,85110952500000,72930946179000,0,0
275,12727,1000,12858849255000,0,0,0,0,59298645021000,72157494276000,0,0
276,11752,1000,12030268845000,0,0,0,0,58985579415000,71015848260000,0,0
277,10841,1000,11061431829000,0,0,0,0,58652232366000,69713664195000,0,0
278,15834,1000,106593460155000,0,0,0,0,103406539845000,210000000000000,0,0
279,14849,1000,62311545849000,0,0,0,0,62316086175000,124627632024000,0,0
280,13913,1000,46975070835000,0,0,0,0,53134033974000,100109104809000,0,0
281,12964,1000,18908301573000,0,0,0,0,57354284946000,76262586519000,0,0
282,12017,1000,11737815054000,0,0,0,0,57352184946000,69090000000000,0,0
283,11044,1000,7883058351000,0,0,0,0,59946941649000,67830000000000,0,0
284,10107,1000,8168733279000,0,0,0,0,58390784529000,66559517808000,0,0
285,22740,1000,125918271234000,0,0,0,0,126081728766000,252000000000000,0,0
286,21766,1000,108059019432000,0,0,0,0,107705642478000,215764661910000,0,0
287,20784,1000,84388265661000,0,0,0,0,84353662239000,168741927900000,0,0
288,19820,1000,67697266077000,0,0,0,0,67677382815000,135374648892000,0,0
289,18887,1000,60326750715000,0,0,0,0,60009842130000,120336592845000,0,0
290,17913,1000,52502806440000,0,0,0,0,52710000000000,105212806440000,0,0
291,16975,1000,48516417264000,0,0,0,0,50699322849000,99215740113000,0,0
292,16016,1000,21094980207000,0,0,0,0,63389408040000,84484388247000,0,0
293,15045,1000,-6403718412000,0,0,0,0,86100000000000,79696281588000,0,0
294,14061,1000,6381241818000,0,0,0,0,67140998547000,73522240365000,0,0
295,13125,1000,264447414000,0,0,0,0,67189354029000,67453801443000,0,0
296,12165,1000,-2562796362000,0,0,0,0,68250000000000,65687203638000,0,0
297,11165,1000,64584264234000,0,0,0,0,nil,64584264234000,0,0
298,10249,1000,456554721000,0,0,0,0,63383445279000,63840000000000,0,0
299,21907,1000,126000000000000,0,0,0,0,126000000000000,252000000000000,0,0
300,20969,1000,126000000000000,0,0,0,0,126000000000000,252000000000000,0,0
301,20016,1000,104993838512112,0,0,0,0,105006161487888,210000000000000,0,0
302,19057,1000,81097957101000,0,0,0,0,80570932512000,161668889613000,0,0
303,18074,1000,63654679935000,0,0,0,0,63603752667000,127258432602000,0,0
304,17133,1000,53530174236000,0,0,0,0,55157148396000,108687322632000,0,0
305,16192,1000,48210238041000,0,0,0,0,52587851904000,100798089945000,0,0
306,15233,1000,25229307852000,0,0,0,0,60468801876000,85698109728000,0,0
307,14264,1000,14329850703000,0,0,0,0,64018019352000,78347870055000,0,0
308,13320,1000,7000180845000,0,0,0,0,64531167183000,71531348028000,0,0
309,12352,1000,1353389058000,0,0,0,0,62993501067000,64346890125000,0,0
310,11397,1000,-228275418000,0,0,0,0,64068275418000,63840000000000,0,0
311,10443,1000,1263402273000,0,0,0,0,61968275418000,63231677691000,0,0
312,22831,1000,126000000000000,0,0,0,0,126000000000000,252000000000000,0,0
313,21871,1000,95790290799000,0,0,0,0,95124471729000,190914762528000,0,0
314,20887,1000,75854594298000,0,0,0,0,75787719441000,151642313739000,0,0
315,19910,1000,65606283393000,0,0,0,0,65643716607000,131250000000000,0,0
316,18972,1000,56537727855000,0,0,0,0,57229555026000,113767282881000,0,0
317,18025,1000,52859496606000,0,0,0,0,53286114945000,106145611551000,0,0
318,17040,1000,31518130035000,0,0,0,0,64822680195000,96340810230000,0,0
319,16088,1000,15377326398000,0,0,0,0,70659651993000,86036978391000,0,0
320,15110,1000,18397625022000,0,0,0,0,61939155327000,80336780349000,0,0
321,14130,1000,2247161889000,0,0,0,0,72439130127000,74686292016000,0,0
322,13175,1000,6578415459000,0,0,0,0,64198824312000,70777239771000,0,0
323,12238,1000,-3876397854000,0,0,0,0,71006901378000,67130503524000,0,0
324,11290,1000,-2602266051000,0,0,0,0,65780021622000,63177755571000,0,0
325,10331,1000,-12527437881000,0,0,0,0,75527437881000,63000000000000,0,0
326,23112,1000,126000000000000,0,0,0,0,126000000000000,252000000000000,0,0
327,22158,1000,131603700438000,0,0,0,0,110292559062000,241896259500000,0,0
328,21164,1000,87110960202000,0,0,0,0,87220787829000,174331748031000,0,0
329,20228,1000,70143493947344,0,0,0,0,70176863474656,140320357422000,0,0
330,19248,1000,60614241933000,0,0,0,0,60630910305000,121245152238000,0,0
331,18280,1000,54972479163000,0,0,0,0,54967930689000,109940409852000,0,0
332,17320,1000,48134697093000,0,0,0,0,52633428750000,100768125843000,0,0
333,16347,1000,-4704937377000,0,0,0,0,97285496196000,92580558819000,0,0
334,15367,1000,16996409031000,0,0,0,0,65785496196000,82781905227000,0,0
335,14395,1000,18188424723000,0,0,0,0,57385496196000,75573920919000,0,0
336,13457,1000,13184612196000,0,0,0,0,57441401346000,70626013542000,0,0
337,12533,1000,4576105674000,0,0,0,0,60587456
